RAD-LW,rad_lw,,,0,,,
RAD-SW,rad_sw,,,0,,,
RAD2-LW,rad2_lw,,,0,,,
RAD2-SW,rad2_sw,,,0,,,
RAIN,rainfall_rate,rainfall_rate,1,1,,,
RELH,relative_humidity,relative_humidity,1,1,,,
RELWDIR,,,,0,,,
RELWSPD,,,,0,,,
RMY-Bow-AirTemp,rmy_bow_airtemp,air_temperature,1,1,,,
RMY-Bow-BaroPressure,rmy_bow_baropressure,air_pressure,1,1,,,
RMY-Bow-RelHumidity,rmy_bow_relhumidity,relative_humidity,1,1,,,
RMY-Trans-AirTemp,rmy_trans_airtemp,air_temperature,1,0,,,
RMY-Trans-BaroPressure,rmy_trans_baropressure,air_pressure,1,0,,,
RMY-Trans-LW,rmy_trans_lw,,,0,,,
RMY-Trans-PortWindRelDir,rmy_trans_portwindreldir,wind_from_direction,1,,,,
RMY-Trans-PortWindRelSpd,rmy_trans_portwindrelspd,wind_speed,1,,,,
RMY-Trans-PrecipCurrHr,rmy_trans_precipcurrhr,,,0,,,
RMY-Trans-PrecipLast24Hr,rmy_trans_preciplast24hr,,,0,,,
RMY-Trans-PrecipRate,rmy_trans_preciprate,lwe_precipitation_rate,1,,,,
RMY-Trans-RelHumidity,rmy_trans_relhumidity,relative_humidity,1,,,,
RMY-Trans-SST1,rmy_trans_sst1,,,0,,,
RMY-Trans-SST5,rmy_trans_sst5,,,0,,,
RMY-Trans-SW,rmy_trans_sw,,,0,,,
RMY-Trans-StbdWindRelDir,rmy_trans_stbdwindreldir,wind_from_direction,1,,,,
RMY-Trans-StbdWindRelSpd,rmy_trans_stbdwindrelspd,wind_speed,1,,,,
SH,specific_humidity,specific_humidity,1,1,,,
SW,surface_downwelling_shortwave_flux_in_air,surface_downwelling_shortwave_flux_in_air,1,1,,,
SpeedLog-GroundSpeedFwd,speedlog_groundspeedfwd,,,0,,,
SpeedLog-GroundSpeedTrans,speedlog_groundspeedtrans,,,0,,,
SpeedLog-WaterSpeedFwd,speedlog_waterspeedfwd,,,0,,,
SpeedLog-WaterSpeedTrans,speedlog_waterspeedtrans,,,0,,,
TAUDIR,,,,0,,,
TAUMAG,,,,,,,
TEMP,sea_water_temperature, sea_water_temperature,1,,,,
TEMP_ADJUSTED,sea_water_temperature, sea_water_temperature,1,1,,,
TSKIN,sea_surface_skin_temperature, sea_surface_skin_temperature,1,1,,,
Time,time,time,1,1,,,
TrueWindBow1-Direction,truewindbow1_direction,wind_from_direction,1,,,,
TrueWindBow1-Speed,truewindbow1_speed,wind_speed,1,,,,
TrueWindBow2-Direction,truewindbow2_direction,wind_from_direction,1,0,,,
TrueWindBow2-Speed,truewindbow2_speed,wind_speed,1,0,,,
TrueWindPort-Direction,truewindport_direction,wind_from_direction,1,0,,,
TrueWindPort-Speed,truewindport_speed,wind_speed,1,0,,,
TrueWindStbd-Direction,truewindstbd_direction,wind_from_direction,1,0,,,
TrueWindStbd-Speed,truewindstbd_speed,wind_speed,1,0,,,
Tsal-Conductivity,tsal_conductivity,sea_water_electrical_conductivity,1,1,,,
Tsal-SST,tsal_sst,sea_surface_temperature,1,1,,,
Tsal-Salinity,tsal_salinity,sea_water_salinity,1,1,,,
Tsal-SoundVelocity,tsal_soundvelocity,speed_of_sound_in_sea_water,1,,,,
Tsal-Temperature,tsal_temperature,sea_water_temperature,1,1,,,
Tsal-TurnFluorometer,tsal_turnfluorometer,mass_concentration_of_chlorophyll_in_sea_water,1,,,1,Confirm variable is indeed CHL or CHLA
TurnerFluorometerRaw,turnerfluorometerraw,mass_concentration_of_chlorophyll_in_sea_water,1,,,1,Confirm variable is indeed CHL or CHLA
UWND,eastward_wind, eastward_wind,1,1,,,
VWND,northward_wind, northward_wind,1,1,,,
YSI_temperature,temperature,sea_water_temperature,1,1,,,
air_pres,air_pressure,air_pressure,1,1,,,
air_pres_ndata,air_pressure_ndata,,,0,,,
air_pres_std,air_pressure_std,,,0,,,
air_pressure,air_pressure,air_pressure,1,1,,,
air_temp,air temperature,air_temperature,1,1,,,
air_temp_10,air_temperature,air_temperature,1,1,-10,1,Altitude of 10m
air_temp_2,air_temperature,air_temperature,1,1,-2,1,Altitude of 2m
air_temp_ndata,air_temperature_ndata,,,0,,,
air_temp_std,air_temperature_std,,,0,,,
air_temperature,air_temperature,air_temperature,1,1,,,
air_temperature_at_16p5m,air_temperature,air_temperature,1,1,-5,1,Check: Altitude of 5m
airpressure,air pressure,air_pressure,1,1,,,
airtemp,air temperature,air_temperature,1,0,,,
amp,signal strength,,,0,,,
barometric_pressure,barometric pressure,air_pressure,1,1,,,
beam_transmission,volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water,volume_beam_attenuation_coefficient_of_radiative_flux_in_sea_water,1,1,,,
buoyancy_flux,buoyancy_flux,,0,0,,,
conductivity,conductivity,sea_water_electrical_conductivity,1,1,,,
conductivity1,conductivity,sea_water_electrical_conductivity,1,,,,
conductivity2,conductivity,sea_water_electrical_conductivity,1,,,,
conductivity_ctd,conductivity,sea_water_electrical_conductivity,1,,,,
conductivity_qc_ctd,conductivity_quality,,,0,,,
course_over_ground,platform_course,platform_course,1,1,,,
ctd_pressure,sea_water_pressure,sea_water_pressure,1,1,,,
ctd_salinity,sea_water_practical_salinity,sea_water_practical_salinity,1,1,,1,Potentially use sea_water_salinity instead
ctd_temperature,sea_water_temperature,sea_water_temperature,1,1,,,
cumulative_rain,thickness_of_rainfall_amount,thickness_of_rainfall_amount,1,1,,,
cur_dir,surface_current_direction,sea_water_velocity_to_direction,1,1,,1,No current standard name
cur_dir_ndata,surface_current_direction_ndata,,,0,,,
cur_dir_std,surface_current_direction_std,,,0,,,
cur_spd,surface_current_speed,sea_water_speed,1,1,,,
cur_spd_ndata,surface_current_speed_ndata,,,0,,,
cur_spd_std,surface_current_speed_std,,,0,,,
current_direction,sea_water_to_direction,sea_water_velocity_to_direction,1,1,,,
deltasec,delta_seconds,,,0,,,
density,sea_water_sigma_theta,sea_water_sigma_theta,1,1,,,
density2,sea_water_sigma_theta,sea_water_sigma_theta,1,,,,
density_at_2m,sea_water_density,sea_water_density,1,1,2,,
density_at_3m,sea_water_density,sea_water_density,1,,3,,
depth,depth,depth,1,1,,,
dic_at_0m,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,mole_concentration_of_dissolved_inorganic_carbon_in_sea_water,1,1,0,,
downwelling_IR,downwelling_longwave_flux_in_air,downwelling_longwave_flux_in_air,1,1,,,
downwelling_longwave_infrared_radiation,downwelling_longwave_radiance_in_air,downwelling_longwave_radiance_in_air,1,1,,,
downwelling_shortwave_solar_radiation,downwelling_shortwave_radiance_in_air,downwelling_shortwave_radiance_in_air,1,1,,,
downwelling_solar,solar_irradiance,solar_irradiance,1,1,,,
drifterID,drifter_id,feature_id,0,1,,1,Not CF but needed as feature identifier
drifter_velocity,platform_speed_wrt_ground,platform_speed_wrt_ground,1,1,,,
eastward_current,eastward_sea_water_velocity,eastward_sea_water_velocity,1,1,,,
eastward_sea_water_velocity,eastward_sea_water_velocity,eastward_sea_water_velocity,1,1,,,
end_latitude,latitude,latitude,1,,,1,Check if END position data needed
end_longitude,longitude,longitude,1,,,1,Check if END position data needed
end_time,time,time,1,,,1,Check if END time data needed
evaporation,lwe_thickness_of_water_evaporation_amount,lwe_thickness_of_water_evaporation_amount,1,1,,,
evaporation_rate,lwe_water_evaporation_rate,lwe_water_evaporation_rate,1,1,,,
fast_pressure,sea_water_pressure,sea_water_pressure,1,1,,,
first_peak_direction,sea_surface_primary_swell_wave_from_direction,sea_surface_primary_swell_wave_from_direction,1,1,,,
first_peak_period,sea_surface_primary_swell_wave_mean_period,sea_surface_primary_swell_wave_mean_period,1,1,,,
first_peak_wavelength,first_peak_wavelength,,,0,,,
float_pressure,sea_water_pressure,sea_water_pressure,1,1,,,
fluorescence,fluorescence,mass_concentration_of_chlorophyll_in_sea_water,1,,,1,Check in variable is CHL also units
friction_velocity,friction_velocity,,,,,,
gps_latitude,latitude,latitude,1,1,,,
gps_lon,longitude,longitude,1,1,,,
gps_longitude,longitude,longitude,1,,,,
heading,heading,platform_course,1,,,,
height,height,altitude,1,,,1,Check context of height as altitude
lat,latitude,latitude,1,1,,,
lat_ctd,latitude,latitude,1,,,,
lat_ndata,latitude_ndata,,,0,,,
lat_std,latitude_std,,,0,,,
latent_heat_flux,surface_upward_latent_heat_flux,surface_upward_latent_heat_flux,1,1,,,
latitude,latitude,latitude,1,1,,,
lon,longitude,longitude,1,1,,,
lon_ctd,longitude,longitude,1,,,,
lon_ndata,longitude_ndata,,,0,,,
lon_std,longitude_std,,,0,,,
long_rad,surface_upwelling_longwave_flux_in_air,surface_upwelling_longwave_flux_in_air,1,1,,,
longitude,longitude,longitude,1,1,,,
lower_error_bound_tke_dissipation_rate_at_0p37m,specific_turbulent_kinetic_energy_dissipation_in_sea_water,specific_turbulent_kinetic_energy_dissipation_in_sea_water,1,1,37,,
lower_pressure,sea_water_pressure,sea_water_pressure,1,1,,,
lower_salinity,sea_water_practical_salinity,sea_water_practical_salinity,1,1,,1,Potentially standardize to sea_water_salinity
lower_temperature,sea_water_temperature,sea_water_temperature,1,1,,,
mean_latitude,latitude,latitude,1,1,,,
mean_longitude,longitude,longitude,1,1,,,
mean_period,sea_surface_swell_wave_mean_period,sea_surface_swell_wave_mean_period,1,1,,,
mean_time,time,time,1,,,1,Check this is time as a coordinate variable
mean_wave_direction,sea_surface_wave_from_direction,sea_surface_wave_from_direction,1,1,,,
meridional_wind_speed,northward_wind,northward_wind,1,,,,
meteorological_pressure,air_pressure,air_pressure,1,1,,,
meteorological_temperature,air_temperature,air_temperature,1,1,,,
meteorological_wind_direction,wind_from_direction,wind_from_direction,1,1,,,
meteorological_wind_speed,wind_speed,wind_speed,1,1,,,
near_sea_surface_temperature_at_2m,sea_water_temperature,sea_water_temperature,1,1,2,,
near_sea_surface_temperature_at_3m,sea_water_temperature,sea_water_temperature,1,1,3,,
near_sea_surface_temperature_at_5cm,sea_water_temperature,sea_water_temperature,1,1,0.05,,
near_sea_surface_temperature_at_5m,sea_water_temperature,sea_water_temperature,1,1,5,,
neutral_wind_speed_relative_to_earth,wind_speed,wind_speed,1,0,,,
neutral_wind_speed_relative_to_water,wind_speed,wind_speed,1,1,,,
neutral_wind_speed_relative_to_water_at_10m,wind_speed,wind_speed,1,1,-10,,
nominal_latitude,nominal latitude,latitude,1,,,,
nominal_longitude,nominal longitude,longitude,1,,,,
northward_current,northward_sea_water_velocity,northward_sea_water_velocity,1,1,,,
northward_sea_water_velocity,northward_sea_water_velocity,northward_sea_water_velocity,1,1,,,
oxygen,moles_of_oxygen_per_unit_mass_in_sea_water,moles_of_oxygen_per_unit_mass_in_sea_water,1,1,,,
pCO2_at_0m,partial_pressure_of_carbon_dioxide_in_sea_water,partial_pressure_of_carbon_dioxide_in_sea_water,1,1,0,,
pCO2_at_5m,partial_pressure_of_carbon_dioxide_in_sea_water,partial_pressure_of_carbon_dioxide_in_sea_water,1,1,5,,
pH_at_0m,seawater_pH,sea_water_ph_reported_on_total_scale,1,1,0,,
pH_at_5m,seawater_pH,sea_water_ph_reported_on_total_scale,1,1,5,,
par,par,photosynthetically_active_radiation,0,,,1,Doesn’t appear that CF standard name for PAR exist
peak_direction,sea_surface_swell_wave_from_direction,sea_surface_swell_wave_from_direction,1,1,,,
peak_period,sea_surface_swell_wave_period,sea_surface_swell_wave_period,1,1,,,
peak_wavelength,peak_wavelength,,,,,,
pflag,status_flag,,,,,,
pg,percent of good pings,,,,,,
platform_heading,platform_orientation,platform_orientation,1,1,,,
platform_speed,platform_speed_wrt_ground,platform_speed_wrt_ground,1,1,,,
potential_temperature,potential_temperature,sea_water_potential_temperature,1,1,,,
potential_temperature2,sea_water_potential_temperature,sea_water_potential_temperature,1,1,,,
power_spectra,power_spectra,,,,,,
precipitation,lwe_thickness_of_precipitation_amount,lwe_thickness_of_precipitation_amount,1,1,,,
precipitation_rate,precipitation rate,lwe_precipitation_rate,1,1,,,
press,air_pressure_at_sea_level,air_pressure,1,1,0,,
pressure,pressure,,,,,1,What type of pressure? Find context to decide inclusion
pressure_at_1m,sea_water_pressure,sea_water_pressure,1,1,1,,
pressure_at_2m,sea_water_pressure,sea_water_pressure,1,1,2,,
pressure_at_3m,sea_water_pressure,sea_water_pressure,1,1,3,,
pressure_at_sea_level,surface_air_pressure,air_pressure,1,1,0,,
pressure_sg,pressure,,,,,1,What type of pressure? Find context to decide inclusion
quality_flag_for_salinity_at_5m,status_flag,,,0,,,
quality_flag_for_surface_salinity,status_flag,,,0,,,
quality_flag_for_surface_temperature,status_flag,,,0,,,
quality_flag_for_temperature_at_5m,status_flag,,,0,,,
rain_accumulation,thickness_of_rainfall_amount,thickness_of_rainfall_amount,1,1,,,
rainaccumulation1,rainfall_accumulation,,,,,1,Check context of paramter to determine name
rainaccumulation2,rainfall_accumulation,,,,,1,Check context of paramter to determine name
rainfall_noise,rainfall_noise,,,0,,,
rainfall_rate,rainfall_rate,rainfall_rate,1,1,,,
rainintensity1,rainfall_rate,rainfall_rate,1,,,,
rainintensity2,rainfall_rate,,,,,,
reflected_solar,solar_irradiance,solar_irradiance,1,1,,,
rel_humid_10,relative_humidity,relative_humidity,1,1,10,,
rel_humid_2,relative_humidity,relative_humidity,1,1,2,,
relative_humidity,relative humidity,relative_humidity,1,1,,,
relative_humidity_at_10m,relative_humidity,relative_humidity,1,1,10,,
relative_humidity_at_16p5m,relative_humidity,relative_humidity,1,1,5,,
relative_humidity_at_2m,relative_humidity,relative_humidity,1,1,2,,
relhumidity,relative humidity,relative_humidity,1,1,,,
resistance,resistance,,,0,,,
sal1,salinity,sea_water_salinity,1,1,,,
sal1_ndata,salinity_ndata,,,0,,,
sal1_std,salinity_std,,,0,,,
sal2,salinity,sea_water_salinity,1,,,,
sal2_ndata,salinity_ndata,,,,,,
sal2_std,salinity_std,,,,,,
salinity,salinity,sea_water_salinity,1,1,,,
salinity1,salinity,sea_water_salinity,1,1,,,
salinity2,salinity,sea_water_salinity,1,,,,
salinity_at_0m,sea_surface_salinity,sea_water_salinity,1,1,0,,
salinity_at_1cm,sea_water_practical_salinity,sea_water_salinity,1,1,0.01,,
salinity_at_1m,sea_water_practical_salinity,sea_water_salinity,1,1,1,,
salinity_at_2m,sea_water_practical_salinity,sea_water_salinity,1,1,2,,
salinity_at_36cm,sea_water_practical_salinity,sea_water_salinity,1,1,0.36,,
salinity_at_3m,sea_water_practical_salinity,sea_water_salinity,1,1,3,,
salinity_at_5m,sea_water_salinity,sea_water_salinity,1,1,5,,
salinity_ctd,salinity,sea_water_salinity,1,1,,,
salinity_precision,salinity_precision,,,0,,,
salinity_qc_ctd,salinity_quality,,,0,,,
scan,scan_count,,,0,,,
sea_surface_salinity,sea_surface_salinity,sea_surface_salinity,1,1,,1,Potenitially use sea_water_salinity at 0m
sea_surface_subskin_temperature_unfiltered_fast_intake,sea_surface_subskin_temperature,sea_surface_subskin_temperature,1,1,,1,How to handle different sensors eg. #
sea_surface_subskin_temperature_unfiltered_slow_intake,sea_surface_subskin_temperature,sea_surface_subskin_temperature,1,,,1,How to handle different sensors eg. #
sea_surface_temperature,sea_surface_temperature,sea_surface_temperature,1,1,,1,Potenitially use sea_water_temperature at 0m
sea_water_density,sea_water_density,sea_water_density,1,1,,,
sea_water_pressure_at_0p12m,sea_water_pressure,sea_water_pressure,1,1,12,,
sea_water_pressure_at_0p23m,sea_water_pressure,sea_water_pressure,1,1,23,,
sea_water_pressure_at_0p54m,sea_water_pressure,sea_water_pressure,1,1,54,,
sea_water_pressure_at_1p10m,sea_water_pressure,sea_water_pressure,1,1,10,,
sea_water_salinity,sea_water_salinity,sea_water_salinity,1,1,,,
sea_water_salinity_at_0p05m,sea_water_salinity,sea_water_salinity,1,1,5,,
sea_water_salinity_at_0p12m,sea_water_salinity,sea_water_salinity,1,1,12,,
sea_water_salinity_at_0p23m,sea_water_salinity,sea_water_salinity,1,1,23,,
sea_water_salinity_at_0p54m,sea_water_salinity,sea_water_salinity,1,1,54,,
sea_water_salinity_at_1p10m,sea_water_salinity,sea_water_salinity,1,1,10,,
sea_water_salinity_pressure,sea_water_pressure,sea_water_pressure,1,1,,,
sea_water_temperature,sea_water_temperature,sea_water_temperature,1,1,,,
sea_water_temperature_at_0p05m,sea_water_temperature,sea_water_temperature,1,1,5,,
sea_water_temperature_at_0p05m_tsg,sea_water_temperature,sea_water_temperature,1,1,5,,
sea_water_temperature_at_0p12m,sea_water_temperature,sea_water_temperature,1,1,12,,
sea_water_temperature_at_0p23m,sea_water_temperature,sea_water_temperature,1,1,23,,
sea_water_temperature_at_0p54m,sea_water_temperature,sea_water_temperature,1,1,54,,
sea_water_temperature_at_1p10m,sea_water_temperature,sea_water_temperature,1,1,10,,
sea_water_temperature_pressure,sea_water_pressure,sea_water_pressure,1,1,,,
