variable_name*standard_name : mapped_name
precipitation_rate*precipitation rate : lwe_precipitation_rate
press*air_pressure_at_sea_level : air_pressure
pressure_at_1m*sea_water_pressure : sea_water_pressure
pressure_at_2m*sea_water_pressure : sea_water_pressure
pressure_at_3m*sea_water_pressure : sea_water_pressure
pressure_at_sea_level*surface_air_pressure : air_pressure
rain_accumulation*thickness_of_rainfall_amount : thickness_of_rainfall_amount
rainfall_rate*rainfall_rate : rainfall_rate
reflected_solar*solar_irradiance : solar_irradiance
rel_humid_10*relative_humidity : relative_humidity
rel_humid_2*relative_humidity : relative_humidity
relative_humidity*relative humidity : relative_humidity
relative_humidity_at_10m*relative_humidity : relative_humidity
relative_humidity_at_16p5m*relative_humidity : relative_humidity
relative_humidity_at_2m*relative_humidity : relative_humidity
relhumidity*relative humidity : relative_humidity
sal1*salinity : sea_water_salinity
salinity*salinity : sea_water_salinity
salinity1*salinity : sea_water_salinity
salinity_at_0m*sea_surface_salinity : sea_water_salinity
salinity_at_1cm*sea_water_practical_salinity : sea_water_salinity
salinity_at_1m*sea_water_practical_salinity : sea_water_salinity
salinity_at_2m*sea_water_practical_salinity : sea_water_salinity
salinity_at_36cm*sea_water_practical_salinity : sea_water_salinity
salinity_at_3m*sea_water_practical_salinity : sea_water_salinity
salinity_at_5m*sea_water_salinity : sea_water_salinity
salinity_ctd*salinity : sea_water_salinity
sea_surface_salinity*sea_surface_salinity : sea_surface_salinity
sea_surface_subskin_temperature_unfiltered_fast_intake*sea_surface_subskin_temperature : sea_surface_subskin_temperature
sea_surface_temperature*sea_surface_temperature : sea_surface_temperature
sea_water_density*sea_water_density : sea_water_density
sea_water_pressure_at_0p12m*sea_water_pressure : sea_water_pressure
sea_water_pressure_at_0p23m*sea_water_pressure : sea_water_pressure
sea_water_pressure_at_0p54m*sea_water_pressure : sea_water_pressure
sea_water_pressure_at_1p10m*sea_water_pressure : sea_water_pressure
sea_water_salinity*sea_water_salinity : sea_water_salinity
sea_water_salinity_at_0p05m*sea_water_salinity : sea_water_salinity
sea_water_salinity_at_0p12m*sea_water_salinity : sea_water_salinity
sea_water_salinity_at_0p23m*sea_water_salinity : sea_water_salinity
sea_water_salinity_at_0p54m*sea_water_salinity : sea_water_salinity
sea_water_salinity_at_1p10m*sea_water_salinity : sea_water_salinity
sea_water_salinity_pressure*sea_water_pressure : sea_water_pressure
sea_water_temperature*sea_water_temperature : sea_water_temperature
sea_water_temperature_at_0p05m*sea_water_temperature : sea_water_temperature
sea_water_temperature_at_0p05m_tsg*sea_water_temperature : sea_water_temperature
sea_water_temperature_at_0p12m*sea_water_temperature : sea_water_temperature
sea_water_temperature_at_0p23m*sea_water_temperature : sea_water_temperature
sea_water_temperature_at_0p54m*sea_water_temperature : sea_water_temperature
sea_water_temperature_at_1p10m*sea_water_temperature : sea_water_temperature
sea_water_temperature_pressure*sea_water_pressure : sea_water_pressure
second_peak_direction*sea_surface_secondary_swell_wave_from_direction : sea_surface_secondary_swell_wave_from_direction
second_peak_period*sea_surface_secondary_swell_wave_mean_period : sea_surface_secondary_swell_wave_mean_period
sensible_heat_flux*surface_upward_sensible_heat_flux : surface_upward_sensible_heat_flux
